Car_ID,Manufacturer,Car_Model,Driver,Battery_Capacity_kWh,Battery_Percentage,Battery_Health,Expected_Distance_KM,Max_Speed_KMH,Instantaneous_Speed_KMH,Revenue,Age_Days,KM_Travelled,Energy_Consumption_Rate,Year_Manufactured,Maintenance_Cost,Charging,Running,Charging_Cost,Garage,Garage_Status,Timestamp
EV0016,Hyundai,Kona EV,Driver_016,39.2,14.02,87.25,55.29,167,0,0.0,1821,120490,0.16,2020,4525.2,1,0,301.3,Garage D,Charging,2025-03-05 20:00:00
EV0041,Tesla,Model 3,Driver_041,60.0,78.18,91.85,359.04,225,157,0.0,1362,27569,0.14,2023,1508.07,0,1,0.0,Garage A,Parked,2025-03-05 20:12:00
EV0036,Hyundai,Kona EV,Driver_036,39.2,21.53,85.72,83.42,167,76,0.0,1872,169005,0.16,2022,6006.15,0,1,0.0,Garage D,Working,2025-03-05 22:30:00
EV0015,MG,ZS EV,Driver_015,50.3,37.18,94.81,162.5,175,0,0.0,815,37403,0.17,2020,1529.59,1,0,313.55,Garage C,Charging,2025-03-05 23:24:00
EV0046,Tata,Nexon EV,Driver_046,40.5,26.78,89.18,111.05,120,119,508.56,1949,45183,0.18,2022,2329.99,0,1,0.0,Garage B,Working,2025-03-06 01:28:00
EV0039,MG,ZS EV,Driver_039,50.3,16.5,86.13,65.51,175,0,0.0,2394,124683,0.17,2022,4937.49,1,0,199.26,Garage C,Charging,2025-03-06 01:50:00
EV0028,Hyundai,Kona EV,Driver_028,39.2,65.63,85.52,253.69,167,55,0.0,1919,131068,0.16,2022,4891.54,0,1,0.0,Garage D,Parked,2025-03-06 02:58:00
EV0013,Tesla,Model 3,Driver_013,60.0,24.0,92.84,111.41,225,12,404.1,1069,61694,0.14,2025,2385.32,0,1,0.0,Garage A,Working,2025-03-06 03:02:00
EV0016,Hyundai,Kona EV,Driver_016,39.2,57.65,87.25,227.35,167,44,472.6,1821,122645,0.16,2020,4589.85,0,1,0.0,Garage D,Working,2025-03-06 03:21:00
EV0038,Tata,Nexon EV,Driver_038,40.5,89.3,96.7,401.54,120,106,898.08,407,13283,0.18,2022,601.99,0,1,0.0,Garage B,Parked,2025-03-06 03:23:00
EV0029,Tesla,Model 3,Driver_029,60.0,27.26,90.22,122.97,225,205,789.11,1979,71821,0.14,2020,3144.13,0,1,0.0,Garage A,Parked,2025-03-06 05:25:00
EV0014,Tata,Nexon EV,Driver_014,40.5,23.74,99.2,109.51,120,43,273.08,316,27734,0.18,2022,990.02,0,1,0.0,Garage B,Working,2025-03-06 06:06:00
EV0038,Tata,Nexon EV,Driver_038,40.5,24.77,96.7,111.38,120,0,0.0,407,17097,0.18,2022,716.41,1,0,222.85,Garage B,Charging,2025-03-06 07:24:00
EV0018,Tata,Nexon EV,Driver_018,40.5,34.71,92.27,148.93,120,0,0.0,1157,98333,0.18,2021,3528.49,1,0,377.21,Garage B,Charging,2025-03-06 08:00:00
EV0045,Tesla,Model 3,Driver_045,60.0,29.65,92.52,137.16,225,184,410.24,981,106007,0.14,2025,3670.71,0,1,0.0,Garage A,Working,2025-03-06 08:00:00
EV0023,MG,ZS EV,Driver_023,50.3,17.14,93.91,74.2,175,0,0.0,903,30293,0.17,2024,1360.29,1,0,398.55,Garage C,Charging,2025-03-06 08:11:00
EV0041,Tesla,Model 3,Driver_041,60.0,84.89,91.85,389.86,225,0,0.0,1362,30186,0.14,2023,1586.58,1,0,302.34,Garage A,Charging,2025-03-06 09:22:00
EV0039,MG,ZS EV,Driver_039,50.3,17.59,86.13,69.84,175,0,0.0,2394,122593,0.17,2022,4874.79,1,0,337.74,Garage C,Charging,2025-03-06 09:47:00
EV0038,Tata,Nexon EV,Driver_038,40.5,42.04,96.7,189.03,120,57,0.0,407,16115,0.18,2022,686.95,0,1,0.0,Garage B,Working,2025-03-06 10:10:00
EV0032,Hyundai,Kona EV,Driver_032,39.2,62.9,92.04,261.68,167,0,0.0,1016,83137,0.16,2024,3002.11,1,0,474.5,Garage D,Charging,2025-03-06 10:30:00
EV0040,Hyundai,Kona EV,Driver_040,39.2,98.06,85.88,380.65,167,167,365.03,1948,151054,0.16,2022,5505.62,0,1,0.0,Garage D,Parked,2025-03-06 11:16:00
EV0012,Hyundai,Kona EV,Driver_012,39.2,87.96,89.95,357.62,167,142,591.52,1937,49465,0.16,2025,2452.45,0,1,0.0,Garage D,Working,2025-03-06 12:45:00
EV0021,Tesla,Model 3,Driver_021,60.0,62.32,85.91,267.7,225,0,0.0,2285,144042,0.14,2019,5463.76,1,0,418.87,Garage A,Charging,2025-03-06 14:02:00
EV0011,MG,ZS EV,Driver_011,50.3,85.91,87.26,345.59,175,45,906.68,2370,60072,0.17,2021,2987.16,0,1,0.0,Garage C,Working,2025-03-06 14:45:00
EV0044,Hyundai,Kona EV,Driver_044,39.2,91.74,94.48,391.78,167,16,831.35,1331,35560,0.16,2022,1732.3,0,1,0.0,Garage D,Working,2025-03-06 14:58:00
EV0043,MG,ZS EV,Driver_043,50.3,7.0,96.32,31.08,175,0,0.0,630,59142,0.17,2022,2089.26,1,0,158.42,Garage C,Charging,2025-03-06 16:33:00
EV0047,MG,ZS EV,Driver_047,50.3,36.53,95.72,161.2,175,138,592.25,880,26052,0.17,2019,1221.56,0,1,0.0,Garage C,Working,2025-03-06 18:35:00
EV0044,Hyundai,Kona EV,Driver_044,39.2,48.94,94.48,209.0,167,157,0.0,1331,36615,0.16,2022,1763.95,0,1,0.0,Garage D,Parked,2025-03-06 18:49:00
EV0038,Tata,Nexon EV,Driver_038,40.5,47.02,96.7,211.43,120,0,0.0,407,13454,0.18,2022,607.12,1,0,318.47,Garage B,Charging,2025-03-06 19:03:00
EV0009,Tesla,Model 3,Driver_009,60.0,17.51,87.48,76.59,225,0,0.0,1300,154665,0.14,2025,5289.95,1,0,255.91,Garage A,Charging,2025-03-06 19:40:00
EV0012,Hyundai,Kona EV,Driver_012,39.2,77.54,89.95,315.26,167,87,210.6,1937,47692,0.16,2025,2399.26,0,1,0.0,Garage D,Parked,2025-03-06 20:19:00
EV0007,MG,ZS EV,Driver_007,50.3,66.28,92.76,283.43,175,99,820.02,762,80979,0.17,2024,2810.37,0,1,0.0,Garage C,Working,2025-03-06 20:37:00
EV0016,Hyundai,Kona EV,Driver_016,39.2,79.81,87.25,314.75,167,112,952.1,1821,120284,0.16,2020,4519.02,0,1,0.0,Garage D,Working,2025-03-06 20:37:00
EV0005,Tesla,Model 3,Driver_005,60.0,17.19,96.51,82.95,225,0,0.0,448,15232,0.14,2022,680.96,1,0,393.87,Garage A,Charging,2025-03-06 21:16:00
EV0023,MG,ZS EV,Driver_023,50.3,18.72,93.91,81.04,175,0,0.0,903,31371,0.17,2024,1392.63,1,0,228.3,Garage C,Charging,2025-03-06 21:52:00
EV0047,MG,ZS EV,Driver_047,50.3,92.19,95.72,406.81,175,24,982.66,880,25149,0.17,2019,1194.47,0,1,0.0,Garage C,Working,2025-03-06 23:23:00
EV0006,Tata,Nexon EV,Driver_006,40.5,99.9,93.59,434.76,120,0,0.0,1009,71178,0.18,2020,2639.84,1,0,152.54,Garage B,Charging,2025-03-06 23:44:00
EV0045,Tesla,Model 3,Driver_045,60.0,43.43,92.52,200.91,225,71,289.11,981,107506,0.14,2025,3715.68,0,1,0.0,Garage A,Working,2025-03-07 00:28:00
EV0049,Tesla,Model 3,Driver_049,60.0,88.76,92.35,409.85,225,147,0.0,1292,28338,0.14,2023,1496.14,0,1,0.0,Garage A,Working,2025-03-07 00:38:00
EV0033,Tesla,Model 3,Driver_033,60.0,91.16,87.81,400.24,225,146,118.21,1649,164674,0.14,2021,5764.72,0,1,0.0,Garage A,Working,2025-03-07 00:51:00
EV0037,Tesla,Model 3,Driver_037,60.0,61.92,80.94,250.59,225,0,0.0,2151,243315,0.14,2019,8374.95,1,0,320.48,Garage A,Charging,2025-03-07 02:10:00
EV0042,Tata,Nexon EV,Driver_042,40.5,78.84,99.76,365.73,120,0,0.0,130,7335,0.18,2023,285.05,1,0,510.9,Garage B,Charging,2025-03-07 02:18:00
EV0019,MG,ZS EV,Driver_019,50.3,69.36,81.98,262.13,175,0,0.0,2221,203931,0.17,2023,7228.43,1,0,558.87,Garage C,Charging,2025-03-07 02:46:00
EV0026,Tata,Nexon EV,Driver_026,40.5,94.72,85.6,377.02,120,104,770.44,2053,166547,0.18,2021,6022.91,0,1,0.0,Garage B,Parked,2025-03-07 03:04:00
EV0044,Hyundai,Kona EV,Driver_044,39.2,39.63,94.48,169.24,167,160,542.82,1331,36787,0.16,2022,1769.11,0,1,0.0,Garage D,Working,2025-03-07 03:11:00
EV0041,Tesla,Model 3,Driver_041,60.0,96.92,91.85,445.11,225,223,733.69,1362,27709,0.14,2023,1512.27,0,1,0.0,Garage A,Working,2025-03-07 03:33:00
EV0007,MG,ZS EV,Driver_007,50.3,65.76,92.76,281.21,175,132,650.75,762,80692,0.17,2024,2801.76,0,1,0.0,Garage C,Working,2025-03-07 03:43:00
EV0003,MG,ZS EV,Driver_003,50.3,93.66,96.75,417.74,175,38,866.67,449,32709,0.17,2022,1205.77,0,1,0.0,Garage C,Working,2025-03-07 04:05:00
EV0047,MG,ZS EV,Driver_047,50.3,16.23,95.72,71.62,175,0,0.0,880,24765,0.17,2019,1182.95,1,0,169.77,Garage C,Charging,2025-03-07 05:00:00
EV0012,Hyundai,Kona EV,Driver_012,39.2,88.3,89.95,359.0,167,0,0.0,1937,45454,0.16,2025,2332.12,1,0,422.26,Garage D,Charging,2025-03-07 05:17:00
EV0034,Tata,Nexon EV,Driver_034,40.5,26.81,95.74,119.36,120,0,0.0,532,37839,0.18,2025,1401.17,1,0,362.21,Garage B,Charging,2025-03-07 05:56:00
EV0021,Tesla,Model 3,Driver_021,60.0,20.74,85.91,89.09,225,141,232.56,2285,143774,0.14,2019,5455.72,0,1,0.0,Garage A,Working,2025-03-07 05:57:00
EV0016,Hyundai,Kona EV,Driver_016,39.2,87.6,87.25,345.47,167,118,0.0,1821,121737,0.16,2020,4562.61,0,1,0.0,Garage D,Working,2025-03-07 06:33:00
EV0035,MG,ZS EV,Driver_035,50.3,78.46,88.18,318.95,175,0,0.0,2392,87831,0.17,2023,3830.93,1,0,464.07,Garage C,Charging,2025-03-07 06:55:00
EV0002,Tata,Nexon EV,Driver_002,40.5,11.38,92.18,48.78,120,0,0.0,1261,85770,0.18,2021,3203.6,1,0,91.97,Garage B,Charging,2025-03-07 07:40:00
EV0009,Tesla,Model 3,Driver_009,60.0,18.04,87.48,78.91,225,0,0.0,1300,154011,0.14,2025,5270.33,1,0,193.86,Garage A,Charging,2025-03-07 08:55:00
EV0006,Tata,Nexon EV,Driver_006,40.5,95.7,93.59,416.48,120,19,345.82,1009,69390,0.18,2020,2586.2,0,1,0.0,Garage B,Working,2025-03-07 09:51:00
EV0048,Hyundai,Kona EV,Driver_048,39.2,53.18,84.06,202.06,167,144,0.0,2467,133815,0.16,2019,5247.95,0,1,0.0,Garage D,Working,2025-03-07 10:05:00
EV0044,Hyundai,Kona EV,Driver_044,39.2,87.44,94.48,373.41,167,154,494.11,1331,34779,0.16,2022,1708.87,0,1,0.0,Garage D,Working,2025-03-07 10:15:00
EV0045,Tesla,Model 3,Driver_045,60.0,17.96,92.52,83.08,225,0,0.0,981,107083,0.14,2025,3702.99,1,0,335.03,Garage A,Charging,2025-03-07 10:26:00
EV0050,Tata,Nexon EV,Driver_050,40.5,53.43,94.92,235.83,120,17,0.0,498,51257,0.18,2023,1786.71,0,1,0.0,Garage B,Working,2025-03-07 10:51:00
EV0019,MG,ZS EV,Driver_019,50.3,81.39,81.98,307.6,175,0,0.0,2221,203069,0.17,2023,7202.57,1,0,255.18,Garage C,Charging,2025-03-07 11:21:00
EV0021,Tesla,Model 3,Driver_021,60.0,31.95,85.91,137.24,225,127,521.97,2285,143584,0.14,2019,5450.02,0,1,0.0,Garage A,Parked,2025-03-07 12:55:00
EV0002,Tata,Nexon EV,Driver_002,40.5,16.87,92.18,72.31,120,0,0.0,1261,82236,0.18,2021,3097.58,1,0,287.48,Garage B,Charging,2025-03-07 13:19:00
EV0012,Hyundai,Kona EV,Driver_012,39.2,48.5,89.95,197.19,167,64,576.41,1937,49404,0.16,2025,2450.62,0,1,0.0,Garage D,Working,2025-03-07 13:40:00
EV0046,Tata,Nexon EV,Driver_046,40.5,16.77,89.18,69.54,120,0,0.0,1949,44076,0.18,2022,2296.78,1,0,277.99,Garage B,Charging,2025-03-07 15:50:00
EV0003,MG,ZS EV,Driver_003,50.3,21.63,96.75,96.47,175,175,676.94,449,30990,0.17,2022,1154.2,0,1,0.0,Garage C,Working,2025-03-07 16:30:00
EV0045,Tesla,Model 3,Driver_045,60.0,53.36,92.52,246.84,225,0,0.0,981,106936,0.14,2025,3698.58,1,0,538.74,Garage A,Charging,2025-03-07 16:38:00
EV0023,MG,ZS EV,Driver_023,50.3,23.43,93.91,101.43,175,68,734.01,903,28781,0.17,2024,1314.93,0,1,0.0,Garage C,Parked,2025-03-07 16:47:00
EV0016,Hyundai,Kona EV,Driver_016,39.2,10.35,87.25,40.82,167,0,0.0,1821,122264,0.16,2020,4578.42,1,0,61.61,Garage D,Charging,2025-03-07 17:03:00
EV0007,MG,ZS EV,Driver_007,50.3,8.1,92.76,34.64,175,0,0.0,762,79901,0.17,2024,2778.03,1,0,271.32,Garage C,Charging,2025-03-07 18:40:00
EV0009,Tesla,Model 3,Driver_009,60.0,8.96,87.48,39.19,225,0,0.0,1300,157517,0.14,2025,5375.51,1,0,351.94,Garage A,Charging,2025-03-07 21:20:00
EV0022,Tata,Nexon EV,Driver_022,40.5,33.17,87.13,134.39,120,0,0.0,1472,174717,0.18,2024,5977.51,1,0,332.71,Garage B,Charging,2025-03-07 22:12:00
EV0049,Tesla,Model 3,Driver_049,60.0,22.45,92.35,103.66,225,15,759.17,1292,31829,0.14,2023,1600.87,0,1,0.0,Garage A,Working,2025-03-07 22:35:00
EV0023,MG,ZS EV,Driver_023,50.3,61.79,93.91,267.5,175,122,263.03,903,27111,0.17,2024,1264.83,0,1,0.0,Garage C,Working,2025-03-08 00:36:00
EV0049,Tesla,Model 3,Driver_049,60.0,21.71,92.35,100.25,225,0,0.0,1292,31656,0.14,2023,1595.68,1,0,554.66,Garage A,Charging,2025-03-08 01:20:00
EV0037,Tesla,Model 3,Driver_037,60.0,13.34,80.94,53.99,225,0,0.0,2151,244261,0.14,2019,8403.33,1,0,208.8,Garage A,Charging,2025-03-08 02:37:00
EV0044,Hyundai,Kona EV,Driver_044,39.2,96.7,94.48,412.96,167,65,833.59,1331,33519,0.16,2022,1671.07,0,1,0.0,Garage D,Parked,2025-03-08 02:50:00
EV0009,Tesla,Model 3,Driver_009,60.0,66.57,87.48,291.18,225,0,0.0,1300,154916,0.14,2025,5297.48,1,0,142.53,Garage A,Charging,2025-03-08 03:21:00
EV0025,Tesla,Model 3,Driver_025,60.0,89.33,83.06,370.99,225,111,0.0,1938,231430,0.14,2019,7911.9,0,1,0.0,Garage A,Parked,2025-03-08 05:31:00
EV0040,Hyundai,Kona EV,Driver_040,39.2,78.4,85.88,304.33,167,41,548.94,1948,151063,0.16,2022,5505.89,0,1,0.0,Garage D,Working,2025-03-08 07:27:00
EV0044,Hyundai,Kona EV,Driver_044,39.2,42.6,94.48,181.92,167,63,0.0,1331,34187,0.16,2022,1691.11,0,1,0.0,Garage D,Working,2025-03-08 08:15:00
EV0040,Hyundai,Kona EV,Driver_040,39.2,87.91,85.88,341.25,167,0,0.0,1948,148263,0.16,2022,5421.89,1,0,592.9,Garage D,Charging,2025-03-08 09:02:00
EV0030,Tata,Nexon EV,Driver_030,40.5,78.6,97.35,355.8,120,0,0.0,339,26095,0.18,2023,952.35,1,0,475.82,Garage B,Charging,2025-03-08 09:04:00
EV0016,Hyundai,Kona EV,Driver_016,39.2,56.48,87.25,222.74,167,0,0.0,1821,122583,0.16,2020,4587.99,1,0,131.33,Garage D,Charging,2025-03-08 09:33:00
EV0005,Tesla,Model 3,Driver_005,60.0,10.54,96.51,50.86,225,0,0.0,448,13131,0.14,2022,617.93,1,0,427.21,Garage A,Charging,2025-03-08 10:36:00
EV0002,Tata,Nexon EV,Driver_002,40.5,50.41,92.18,216.08,120,44,0.0,1261,86237,0.18,2021,3217.61,0,1,0.0,Garage B,Parked,2025-03-08 10:52:00
EV0020,Hyundai,Kona EV,Driver_020,39.2,18.09,92.29,75.46,167,0,0.0,923,78612,0.16,2024,2819.86,1,0,449.45,Garage D,Charging,2025-03-08 10:56:00
EV0013,Tesla,Model 3,Driver_013,60.0,30.72,92.84,142.6,225,191,0.0,1069,59838,0.14,2025,2329.64,0,1,0.0,Garage A,Parked,2025-03-08 11:04:00
EV0036,Hyundai,Kona EV,Driver_036,39.2,89.1,85.72,345.22,167,25,512.84,1872,172135,0.16,2022,6100.05,0,1,0.0,Garage D,Working,2025-03-08 12:16:00
EV0005,Tesla,Model 3,Driver_005,60.0,89.25,96.51,430.68,225,0,0.0,448,14890,0.14,2022,670.7,1,0,384.73,Garage A,Charging,2025-03-08 12:20:00
EV0002,Tata,Nexon EV,Driver_002,40.5,71.2,92.18,305.19,120,35,166.6,1261,82508,0.18,2021,3105.74,0,1,0.0,Garage B,Working,2025-03-08 13:24:00
EV0026,Tata,Nexon EV,Driver_026,40.5,12.6,85.6,50.15,120,0,0.0,2053,166357,0.18,2021,6017.21,1,0,420.96,Garage B,Charging,2025-03-08 14:25:00
EV0041,Tesla,Model 3,Driver_041,60.0,98.73,91.85,453.42,225,104,661.5,1362,28313,0.14,2023,1530.39,0,1,0.0,Garage A,Working,2025-03-08 15:30:00
EV0045,Tesla,Model 3,Driver_045,60.0,98.25,92.52,454.5,225,127,227.12,981,104920,0.14,2025,3638.1,0,1,0.0,Garage A,Parked,2025-03-08 16:00:00
EV0001,Tesla,Model 3,Driver_001,60.0,92.68,88.8,411.5,225,94,0.0,1933,111352,0.14,2022,4307.06,0,1,0.0,Garage A,Working,2025-03-08 16:05:00
EV0020,Hyundai,Kona EV,Driver_020,39.2,25.96,92.29,108.29,167,0,0.0,923,79572,0.16,2024,2848.66,1,0,115.08,Garage D,Charging,2025-03-08 16:42:00
EV0042,Tata,Nexon EV,Driver_042,40.5,50.51,99.76,234.31,120,100,0.0,130,7455,0.18,2023,288.65,0,1,0.0,Garage B,Working,2025-03-08 16:58:00
EV0014,Tata,Nexon EV,Driver_014,40.5,42.94,99.2,198.07,120,0,0.0,316,29205,0.18,2022,1034.15,1,0,345.7,Garage B,Charging,2025-03-08 17:27:00
EV0018,Tata,Nexon EV,Driver_018,40.5,91.76,92.27,393.7,120,87,646.13,1157,100957,0.18,2021,3607.21,0,1,0.0,Garage B,Working,2025-03-08 18:20:00
EV0009,Tesla,Model 3,Driver_009,60.0,66.86,87.48,292.45,225,191,303.86,1300,153752,0.14,2025,5262.56,0,1,0.0,Garage A,Working,2025-03-08 19:08:00
EV0029,Tesla,Model 3,Driver_029,60.0,64.21,90.22,289.65,225,191,534.97,1979,72912,0.14,2020,3176.86,0,1,0.0,Garage A,Working,2025-03-08 19:15:00
EV0047,MG,ZS EV,Driver_047,50.3,35.79,95.72,157.93,175,37,712.49,880,24093,0.17,2019,1162.79,0,1,0.0,Garage C,Working,2025-03-08 19:23:00
EV0006,Tata,Nexon EV,Driver_006,40.5,52.37,93.59,227.91,120,0,0.0,1009,67965,0.18,2020,2543.45,1,0,234.2,Garage B,Charging,2025-03-08 19:28:00
EV0026,Tata,Nexon EV,Driver_026,40.5,8.07,85.6,32.12,120,0,0.0,2053,170912,0.18,2021,6153.86,1,0,426.56,Garage B,Charging,2025-03-08 19:48:00
EV0014,Tata,Nexon EV,Driver_014,40.5,76.4,99.2,352.42,120,0,0.0,316,29872,0.18,2022,1054.16,1,0,107.94,Garage B,Charging,2025-03-08 20:43:00
EV0045,Tesla,Model 3,Driver_045,60.0,5.21,92.52,24.1,225,0,0.0,981,106227,0.14,2025,3677.31,1,0,53.4,Garage A,Charging,2025-03-08 20:55:00
EV0035,MG,ZS EV,Driver_035,50.3,50.24,88.18,204.23,175,72,792.59,2392,86280,0.17,2023,3784.4,0,1,0.0,Garage C,Working,2025-03-08 22:52:00
EV0015,MG,ZS EV,Driver_015,50.3,98.58,94.81,430.87,175,32,420.33,815,37961,0.17,2020,1546.33,0,1,0.0,Garage C,Working,2025-03-09 00:25:00
EV0042,Tata,Nexon EV,Driver_042,40.5,99.76,99.76,462.77,120,0,0.0,130,8488,0.18,2023,319.64,1,0,509.3,Garage B,Charging,2025-03-09 01:10:00
EV0006,Tata,Nexon EV,Driver_006,40.5,35.43,93.59,154.19,120,0,0.0,1009,70823,0.18,2020,2629.19,1,0,461.11,Garage B,Charging,2025-03-09 01:31:00
EV0024,Hyundai,Kona EV,Driver_024,39.2,32.02,88.89,128.65,167,92,730.49,1991,87400,0.16,2024,3617.5,0,1,0.0,Garage D,Working,2025-03-09 01:35:00
EV0019,MG,ZS EV,Driver_019,50.3,95.51,81.98,360.96,175,0,0.0,2221,201106,0.17,2023,7143.68,1,0,384.18,Garage C,Charging,2025-03-09 02:08:00
EV0019,MG,ZS EV,Driver_019,50.3,46.59,81.98,176.08,175,0,0.0,2221,200535,0.17,2023,7126.55,1,0,375.29,Garage C,Charging,2025-03-09 02:38:00
EV0027,MG,ZS EV,Driver_027,50.3,39.51,88.48,161.16,175,0,0.0,1743,97378,0.17,2020,3792.84,1,0,312.5,Garage C,Charging,2025-03-09 03:19:00
EV0039,MG,ZS EV,Driver_039,50.3,14.04,86.13,55.75,175,0,0.0,2394,125961,0.17,2022,4975.83,1,0,166.92,Garage C,Charging,2025-03-09 05:41:00
EV0002,Tata,Nexon EV,Driver_002,40.5,18.02,92.18,77.24,120,0,0.0,1261,82697,0.18,2021,3111.41,1,0,406.62,Garage B,Charging,2025-03-09 06:35:00
EV0040,Hyundai,Kona EV,Driver_040,39.2,96.0,85.88,372.65,167,120,0.0,1948,151463,0.16,2022,5517.89,0,1,0.0,Garage D,Working,2025-03-09 06:57:00
EV0022,Tata,Nexon EV,Driver_022,40.5,18.64,87.13,75.52,120,0,0.0,1472,173662,0.18,2024,5945.86,1,0,274.47,Garage B,Charging,2025-03-09 08:24:00
EV0015,MG,ZS EV,Driver_015,50.3,16.68,94.81,72.9,175,0,0.0,815,39618,0.17,2020,1596.04,1,0,326.76,Garage C,Charging,2025-03-09 08:31:00
EV0046,Tata,Nexon EV,Driver_046,40.5,32.24,89.18,133.7,120,15,973.37,1949,43444,0.18,2022,2277.82,0,1,0.0,Garage B,Working,2025-03-09 09:08:00
EV0046,Tata,Nexon EV,Driver_046,40.5,90.47,89.18,375.17,120,0,0.0,1949,47038,0.18,2022,2385.64,1,0,240.17,Garage B,Charging,2025-03-09 10:33:00
EV0023,MG,ZS EV,Driver_023,50.3,79.93,93.91,346.04,175,89,167.94,903,27360,0.17,2024,1272.3,0,1,0.0,Garage C,Working,2025-03-09 10:48:00
EV0048,Hyundai,Kona EV,Driver_048,39.2,37.57,84.06,142.75,167,0,0.0,2467,135506,0.16,2019,5298.68,1,0,241.09,Garage D,Charging,2025-03-09 12:11:00
EV0033,Tesla,Model 3,Driver_033,60.0,93.48,87.81,410.42,225,218,517.63,1649,163856,0.14,2021,5740.18,0,1,0.0,Garage A,Working,2025-03-09 13:08:00
EV0040,Hyundai,Kona EV,Driver_040,39.2,50.34,85.88,195.41,167,39,137.57,1948,148305,0.16,2022,5423.15,0,1,0.0,Garage D,Working,2025-03-09 14:08:00
EV0046,Tata,Nexon EV,Driver_046,40.5,24.97,89.18,103.55,120,34,177.11,1949,43312,0.18,2022,2273.86,0,1,0.0,Garage B,Working,2025-03-09 14:29:00
EV0001,Tesla,Model 3,Driver_001,60.0,51.62,88.8,229.19,225,33,536.22,1933,112420,0.14,2022,4339.1,0,1,0.0,Garage A,Parked,2025-03-09 15:13:00
EV0044,Hyundai,Kona EV,Driver_044,39.2,78.44,94.48,334.98,167,0,0.0,1331,32513,0.16,2022,1640.89,1,0,362.72,Garage D,Charging,2025-03-09 15:31:00
EV0034,Tata,Nexon EV,Driver_034,40.5,33.88,95.74,150.83,120,104,346.66,532,40311,0.18,2025,1475.33,0,1,0.0,Garage B,Parked,2025-03-09 16:25:00
EV0048,Hyundai,Kona EV,Driver_048,39.2,55.31,84.06,210.15,167,131,0.0,2467,133660,0.16,2019,5243.3,0,1,0.0,Garage D,Working,2025-03-09 17:14:00
EV0005,Tesla,Model 3,Driver_005,60.0,93.13,96.51,449.4,225,0,0.0,448,17039,0.14,2022,735.17,1,0,61.53,Garage A,Charging,2025-03-09 17:14:00
EV0044,Hyundai,Kona EV,Driver_044,39.2,9.97,94.48,42.58,167,0,0.0,1331,35142,0.16,2022,1719.76,1,0,73.32,Garage D,Charging,2025-03-09 17:58:00
EV0044,Hyundai,Kona EV,Driver_044,39.2,5.95,94.48,25.41,167,0,0.0,1331,36708,0.16,2022,1766.74,1,0,137.39,Garage D,Charging,2025-03-09 18:14:00
EV0042,Tata,Nexon EV,Driver_042,40.5,59.11,99.76,274.2,120,25,0.0,130,7619,0.18,2023,293.57,0,1,0.0,Garage B,Working,2025-03-09 18:46:00
EV0035,MG,ZS EV,Driver_035,50.3,14.03,88.18,57.03,175,0,0.0,2392,85248,0.17,2023,3753.44,1,0,122.07,Garage C,Charging,2025-03-09 19:43:00
EV0030,Tata,Nexon EV,Driver_030,40.5,37.39,97.35,169.26,120,0,0.0,339,22399,0.18,2023,841.47,1,0,260.13,Garage B,Charging,2025-03-09 19:46:00
EV0045,Tesla,Model 3,Driver_045,60.0,57.72,92.52,267.01,225,49,0.0,981,107369,0.14,2025,3711.57,0,1,0.0,Garage A,Parked,2025-03-09 20:08:00
EV0040,Hyundai,Kona EV,Driver_040,39.2,63.27,85.88,245.6,167,0,0.0,1948,152129,0.16,2022,5537.87,1,0,323.07,Garage D,Charging,2025-03-09 21:48:00
EV0008,Hyundai,Kona EV,Driver_008,39.2,15.92,97.41,70.09,167,0,0.0,441,21889,0.16,2021,877.17,1,0,388.16,Garage D,Charging,2025-03-09 22:03:00
EV0008,Hyundai,Kona EV,Driver_008,39.2,45.99,97.41,202.49,167,63,864.08,441,21305,0.16,2021,859.65,0,1,0.0,Garage D,Working,2025-03-09 22:15:00
EV0047,MG,ZS EV,Driver_047,50.3,8.47,95.72,37.38,175,0,0.0,880,26913,0.17,2019,1247.39,1,0,256.86,Garage C,Charging,2025-03-09 22:20:00
EV0042,Tata,Nexon EV,Driver_042,40.5,73.79,99.76,342.3,120,21,477.94,130,7004,0.18,2023,275.12,0,1,0.0,Garage B,Working,2025-03-09 22:35:00
EV0004,Hyundai,Kona EV,Driver_004,39.2,43.52,88.34,173.77,167,58,963.69,1626,137173,0.16,2024,4928.19,0,1,0.0,Garage D,Working,2025-03-10 00:10:00
EV0029,Tesla,Model 3,Driver_029,60.0,44.99,90.22,202.95,225,0,0.0,1979,74965,0.14,2020,3238.45,1,0,170.72,Garage A,Charging,2025-03-10 01:32:00
EV0024,Hyundai,Kona EV,Driver_024,39.2,74.14,88.89,297.88,167,165,129.68,1991,89790,0.16,2024,3689.2,0,1,0.0,Garage D,Working,2025-03-10 02:45:00
EV0048,Hyundai,Kona EV,Driver_048,39.2,37.06,84.06,140.81,167,141,478.56,2467,134340,0.16,2019,5263.7,0,1,0.0,Garage D,Working,2025-03-10 04:37:00
EV0034,Tata,Nexon EV,Driver_034,40.5,55.08,95.74,245.21,120,22,256.01,532,40197,0.18,2025,1471.91,0,1,0.0,Garage B,Parked,2025-03-10 05:02:00
EV0042,Tata,Nexon EV,Driver_042,40.5,29.39,99.76,136.34,120,86,104.55,130,6484,0.18,2023,259.52,0,1,0.0,Garage B,Parked,2025-03-10 07:40:00
